B	cDC1	cDC2	mDC	Mf	Mo	Mo_Blood	Mo_CD16	NK	pDC	T_Effector	T_Effector_GNLY	T_Naive	Treg	Treg_Imm
PsA_008	0.54	3.01	18.04	2.08	1.39	44.72	1.31	0	0.08	0.39	1.85	2.93	12.88	1.93	8.87
PsA_007	0.8	1.85	18.02	1.05	4.99	33.55	0.4	0	2.41	1.53	3.7	5.31	15.04	0.48	10.86
PsA_010	3.84	3.59	9.41	0.37	3.53	21.35	0.43	0.25	2.78	4.52	9.53	1.36	22.65	0.87	15.53
PsA_012	1.44	1.53	9.24	0	20.42	55.34	0.34	0.08	0.51	0.42	1.86	1.53	3.05	0.17	4.07
PsA_013	2.52	3.07	8.5	0.79	4.96	61.05	0.79	0	0.63	0.79	2.83	0.55	8.65	0.79	4.09
PsA_022.1	2.45	6.69	4.57	0.49	11.75	62.23	0.65	0	0.08	1.22	2.45	0	1.96	0.16	5.3
PsA_026	0.58	5.85	18.33	0.71	9	21.61	0.39	0.06	6.69	0.9	12.09	4.89	5.79	0.51	12.6
PsA_028	3.08	4.16	6.25	0.69	5.4	30.76	0.39	0	3.86	0	3.86	2.7	23.21	2.31	13.34
PsA_018	0	2.37	15.64	0	20.88	55.95	0.43	0	0.29	3.59	0	0.07	0.57	0	0.22
PsA_014	4.89	3.53	4.26	0.42	5.72	20.69	0	0	7.59	3.33	10.19	2.49	13.2	2.7	21
PsA_021	2.4	2.76	16.93	2.4	10.8	46.82	0.84	0.24	2.88	0.36	1.08	1.68	2.64	2.28	5.88
PsA_027	0.19	7.16	19.32	2.07	19.42	36.85	0.09	0.09	2.26	2.64	0.19	3.2	4.05	0.09	2.36
PsA_023	0.41	5.3	7.01	0.16	10.85	49.43	0.65	0	0.73	0.9	1.55	1.71	6.53	2.69	12.07
PsA_020	0.45	5.3	4.47	0.45	25.36	39.29	0.08	0.23	0.61	2.88	0.98	1.36	6.59	1.14	10.83
PsA_025	0.07	0	5.31	0	24.42	68.65	0.57	0.07	0.07	0.07	0	0.21	0.28	0	0.28
PsA_015	0.11	5.47	32.03	2.46	3.57	39.62	0.67	0.11	0.67	0.89	0.67	3.24	6.14	0.11	4.24
PsA_029	1.45	4.59	12.38	2.2	9.43	20.93	0.19	0.13	2.14	2.77	13.64	2.14	7.86	0.69	19.48
PsA_034	2.82	21.28	10.66	1.25	1.88	5.91	0.05	0	6.48	0.99	7.68	6.12	17.2	2.77	14.9
PsA_031	7.7	6.35	7.77	0.3	3.51	14.87	0.15	0	16.22	2.39	12.86	2.02	7.77	0.9	17.19
PsA_033.1	0.44	7.05	2.2	1.15	2.82	9.44	0.09	0	5.03	1.41	7.67	1.23	14.02	6.7	40.74
PsA_035	7.99	3.99	6.45	1.19	5.79	34.81	0.31	0.04	9	3.86	6.45	2.77	8.56	0.57	8.21
PsA_030	2.11	5.65	30.46	1.01	7.09	29.79	0.17	0	3.38	1.35	3.71	0.68	5.99	0.93	7.68
PsA_036	0.56	5.65	10.83	2.35	3.95	25.14	0.28	0	4.05	1.79	10.36	2.92	13.56	1.88	16.67
PsA_037	0.1	5.28	8.39	0.73	46.61	24.65	0.1	0.1	2.49	0.05	3.78	0.36	2.43	0.73	4.19
PsA_006	0.81	8.1	26.32	1.21	8.5	46.56	0	0	0.81	1.62	1.62	0	0.81	0	3.64
PsA_043	0.14	10.8	53.12	0.28	11.65	21.73	0	0	0.14	1.42	0	0	0.57	0	0.14
PsA_044	0.54	10.6	46.2	0.27	4.35	25.54	0.27	0	2.72	1.36	0.82	1.36	4.08	0	1.9
PsA_040	2.5	4.68	8.81	0.44	9.9	45.16	0.33	0.11	1.41	3.05	6.86	0.44	7.29	0.22	8.81
PsA_008.1	0.26	2.11	52.77	3.69	4.75	27.44	0.26	0	0	0.79	0	0	4.75	0.53	2.64
PsA_022	2.25	3.7	10.45	2.09	5.63	25.56	0	0	4.66	1.29	11.25	5.14	11.58	1.61	14.79
PsA_039	0.31	1.13	26.95	10.91	2.98	49.38	1.03	0	0.1	0.21	0.31	0.1	4.22	0.1	2.26
PsA_045	0.61	15.35	22.19	0.76	10.33	22.8	0.46	0	1.06	1.22	2.58	0.76	8.05	0.3	13.53
PsA_033.2	1.58	15.96	6.21	5.12	3.9	11.45	0.24	0.12	4.75	3.78	6.21	0.85	9.26	7.43	23.14
PsA_003.1	1.36	12.1	30.25	2.35	7.65	23.95	0.49	0	2.72	1.23	3.83	1.73	4.07	0.99	7.28
PsA_046	0.44	2.63	7.14	1.21	12.07	61.91	0	0.11	2.2	0.33	1.87	0.77	3.84	1.1	4.39
PsA_041	8.7	7.01	11.68	0.42	5.52	32.06	0.42	0.21	4.88	3.82	4.88	0.42	13.38	0.85	5.73
PsA_012.1	2.81	8.64	33.69	1.94	4.75	12.53	0	0	6.91	1.73	2.38	2.38	11.88	0.22	10.15
PsA_048	0.51	4.88	8.24	0.51	20.85	57.99	0.1	0	2.64	0	1.63	0.2	0.81	0.1	1.53
PsA_047	0.2	19.59	15.71	1.84	8.78	38.16	0.61	0	0.61	3.06	1.43	0.2	4.29	1.02	4.49
